2026-06-12 04:35:33 +0300 - [run_measurements] - INFO - Fetching connected RIPE Atlas probes for country JP
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Fetching https://atlas.ripe.net/api/v2/probes/?country_code=jp&status_name=Connected
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Fetching https://atlas.ripe.net/api/v2/probes/?country_code=jp&page=2&status_name=Connected
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Fetching https://atlas.ripe.net/api/v2/probes/?country_code=jp&page=3&status_name=Connected
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Fetching https://atlas.ripe.net/api/v2/probes/?country_code=jp&page=4&status_name=Connected
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 234 in network 202.232.0.0/16 (AS 2497)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 2299 in network 103.167.46.0/24 (AS 45679)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 3450 in network 27.94.0.0/16 (AS 2516)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 3739 in network 203.178.128.0/17 (AS 2500)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 3772 in network 203.178.128.0/17 (AS 2500)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 6370 in network 103.202.216.0/23 (AS 59105)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 6425 in network 202.214.0.0/16 (AS 2497)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 6455 in network 104.238.160.0/23 (AS 20473)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 6580 in network 103.40.208.0/22 (AS 63834)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 6631 in network 92.38.178.0/24 (AS 202422)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 6974 in network 182.161.74.0/24 (AS 55569)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 6983 in network 156.154.181.0/24 (AS 16552)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 7039 in network 103.170.232.0/24 (AS 142616)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 7080 in network 63.222.190.0/24 (AS 3491)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 7433 in network 43.228.174.0/24 (AS 63806)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 7557 in network 103.96.67.0/24 (AS 63771)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 7560 in network 103.167.46.0/24 (AS 45679)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 7563 in network 103.167.46.0/24 (AS 45679)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 7564 in network 133.69.0.0/20 (AS 2523)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 7642 in network 31.204.145.0/24 (AS 49544)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 7663 in network 103.161.244.0/23 (AS 141682)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 7689 in network 192.50.27.0/24 (AS 38649)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 11218 in network 210.198.0.0/19 (AS 7514)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 11261 in network 203.178.128.0/17 (AS 2500)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 11539 in network 131.112.0.0/16 (AS 9367)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 12199 in network 217.178.128.0/18 (AS 55391)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 12782 in network 153.128.0.0/10 (AS 4713)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 12790 in network 103.41.62.0/24 (AS 59103)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 13227 in network 128.53.16.0/20 (AS 2514)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 13229 in network 126.249.0.0/16 (AS 17676)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 13262 in network 61.196.0.0/16 (AS 4725)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 13531 in network 208.69.37.0/24 (AS 36692)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 13819 in network 125.100.0.0/14 (AS 17506)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 13821 in network 157.66.181.0/24 (AS 55911)
