2026-06-15 00:39:00 +0300 - [run_measurements] - INFO - Fetching connected RIPE Atlas probes for country NL
2026-06-15 00:39:00 +0300 - [get_probes] - INFO - Fetching https://atlas.ripe.net/api/v2/probes/?country_code=nl&status_name=Connected
2026-06-15 00:39:01 +0300 - [get_probes] - INFO - Fetching https://atlas.ripe.net/api/v2/probes/?country_code=nl&page=2&status_name=Connected
2026-06-15 00:39:01 +0300 - [get_probes] - INFO - Fetching https://atlas.ripe.net/api/v2/probes/?country_code=nl&page=3&status_name=Connected
2026-06-15 00:39:01 +0300 - [get_probes] - INFO - Fetching https://atlas.ripe.net/api/v2/probes/?country_code=nl&page=4&status_name=Connected
2026-06-15 00:39:01 +0300 - [get_probes] - INFO - Fetching https://atlas.ripe.net/api/v2/probes/?country_code=nl&page=5&status_name=Connected
2026-06-15 00:39:01 +0300 - [get_probes] - INFO - Fetching https://atlas.ripe.net/api/v2/probes/?country_code=nl&page=6&status_name=Connected
2026-06-15 00:39:01 +0300 - [get_probes] - INFO - Fetching https://atlas.ripe.net/api/v2/probes/?country_code=nl&page=7&status_name=Connected
2026-06-15 00:39:02 +0300 - [get_probes] - INFO - Fetching https://atlas.ripe.net/api/v2/probes/?country_code=nl&page=8&status_name=Connected
2026-06-15 00:39:02 +0300 - [get_probes] - INFO - Found probe 1 in network 45.138.228.0/22 (AS 206238)
2026-06-15 00:39:02 +0300 - [get_probes] - INFO - Found probe 3 in network 77.174.0.0/16 (AS 1136)
2026-06-15 00:39:02 +0300 - [get_probes] - INFO - Found probe 6 in network 82.174.0.0/16 (AS 50266)
2026-06-15 00:39:02 +0300 - [get_probes] - INFO - Found probe 18 in network 178.85.0.0/16 (AS 33915)
2026-06-15 00:39:02 +0300 - [get_probes] - INFO - Found probe 20 in network 77.174.0.0/16 (AS 1136)
2026-06-15 00:39:02 +0300 - [get_probes] - INFO - Found probe 37 in network 2.57.252.0/24 (AS 213279)
2026-06-15 00:39:02 +0300 - [get_probes] - INFO - Found probe 38 in network 77.174.0.0/16 (AS 1136)
2026-06-15 00:39:02 +0300 - [get_probes] - INFO - Found probe 92 in network 213.136.0.0/19 (AS 12859)
2026-06-15 00:39:02 +0300 - [get_probes] - INFO - Found probe 293 in network 45.137.100.0/22 (AS 206238)
2026-06-15 00:39:02 +0300 - [get_probes] - INFO - Found probe 429 in network 95.99.0.0/16 (AS 50266)
2026-06-15 00:39:02 +0300 - [get_probes] - INFO - Found probe 438 in network 94.208.0.0/14 (AS 33915)
2026-06-15 00:39:02 +0300 - [get_probes] - INFO - Found probe 475 in network 45.80.168.0/22 (AS 206238)
2026-06-15 00:39:02 +0300 - [get_probes] - INFO - Found probe 667 in network 86.80.0.0/13 (AS 1136)
2026-06-15 00:39:02 +0300 - [get_probes] - INFO - Found probe 946 in network 141.138.216.0/21 (AS 34612)
2026-06-15 00:39:02 +0300 - [get_probes] - INFO - Found probe 964 in network 91.215.148.0/22 (AS 34612)
2026-06-15 00:39:02 +0300 - [get_probes] - INFO - Found probe 999 in network 77.160.0.0/13 (AS 1136)
2026-06-15 00:39:02 +0300 - [get_probes] - INFO - Found probe 1243 in network 85.144.0.0/15 (AS 50266)
2026-06-15 00:39:02 +0300 - [get_probes] - INFO - Found probe 1423 in network 77.173.0.0/16 (AS 1136)
